steamLink,title_en,title_zh,title_ja,price,bargain_price,game_type
https://store.steampowered.com/app/3433940/Forsaker__DingDingBlade/,Forsaker : DingDing&amp;Blade,棄種：叮叮與聖劍,Forsaker : DingDing&amp;Blade,,,
https://store.steampowered.com/app/1462030/Duil/,Duil,Duil,Duil,,,
https://store.steampowered.com/app/2317510/Revenant/?l=koreana,Revenant,Revenant,Revenant,,,
https://store.steampowered.com/app/2735580/Netherworld_Covenant/,Netherworld Covenant,冥界契約,冥界契约,,,
https://store.steampowered.com/app/2096260/Mini_Tank_Mayhem/,Mini Tank Mayhem,Mini Tank Mayhem,Mini Tank Mayhem,,,
https://store.steampowered.com/app/1578880/Grammarian_Ltd/,Grammarian Ltd,Grammarian Ltd,Grammarian Ltd,,,
https://store.steampowered.com/app/2230290/DADOO_Twists_Turns_and_Mischiefs/,"DADOO: Twists, Turns, and Mischiefs","DADOO: Twists, Turns, and Mischiefs","DADOO: Twists, Turns, and Mischiefs",,,
https://store.steampowered.com/app/3373830/The_Way_of_the_Tray_Japanese_Restaurant_Simulator/,The Way of the Tray: Japanese Restaurant Simulator 🍙,The Way of the Tray: Japanese Restaurant Simulator 🍙,The Way of the Tray: Japanese Restaurant Simulator 🍙,,,
https://store.steampowered.com/app/1454540,LAPIN,LAPIN,LAPIN,,,
https://store.steampowered.com/app/2947280/Solateria/,Solateria,Solateria,Solateria,,,
https://store.steampowered.com/app/2871140/,The Real Face of a VTuber,誰是中之人,中の人は誰,,,
https://store.steampowered.com/app/2114160/Red_Rebellion/,Red Rebellion,Red Rebellion,Red Rebellion,,,
https://store.steampowered.com/app/2620590/Marrons_Day/,Marron's Day,Marron's Day,マロンの日,,,
https://store.steampowered.com/app/3519630/Live_War,Live War,Live War,Live War,,,
https://store.steampowered.com/app/2717010,KALPA: Cosmic Symphony,KALPA: Cosmic Symphony,カルパ: コズミック シンフォニー(KALPA: Cosmic Symphony),,,
https://store.steampowered.com/app/2551550/Goodbye_Seoul/,Goodbye Seoul,追逐末日之光,Goodbye Seoul,,,
https://store.steampowered.com/app/2725250,Nientum - Op.ZERO,Nientum - Op.ZERO,Nientum - Op.ZERO,,,
https://store.steampowered.com/app/3424940/,Prize Denied,保證不取物,クレーンゲーム専門店,,,
https://store.steampowered.com/app/1916560/Feisty_Fauna/,Feisty Fauna,活潑動物群,Feisty Fauna,,,
https://store.steampowered.com/app/2726870/Loopstructor/,Loopstructor,玩個Gui,Loopstructor,,,
https://store.steampowered.com/app/2670430/ABYAPaint_Ball/,ABYA:Paint Ball,ABYA:Paint Ball,ABYA:Paint Ball,,,
https://store.steampowered.com/app/3409430/Shrink_Rooms/,Shrink Rooms,坍縮謎室 Shrink Rooms,Shrink Rooms,,,
https://store.steampowered.com/app/2447100/Scarred/,Scarred,惨痕,Scarred,,,
https://store.steampowered.com/app/2650730/SEDAP/,SEDAP! A Culinary Adventure,SEDAP! 獵廚狂歡!,スダップ！～料理の冒険～,,,
https://store.steampowered.com/app/3070650/180/,群島物語：實習鍊金術士的180天之旅,群島物語：實習鍊金術士的180天之旅,群島物語：實習鍊金術士的180天之旅,,,
https://store.steampowered.com/app/2526570/Band_of_Crusaders/,Band of Crusaders,Band of Crusaders,Band of Crusaders バンド･オヴ･クルセイダース,,,
https://store.steampowered.com/app/1876880,Primitive Society Simulator,大荒先民,大荒先民,,,
https://store.steampowered.com/app/2954920,Zero-Sum Heart,零和之心,Zero-Sum Heart,,,
https://store.steampowered.com/app/3042680,Lightracer: For Judge,Lightracer: For Judge,Lightracer: For Judge,,,
https://store.steampowered.com/app/2983140,Trials of Innocence,无罪之庭,無罪裁廷,,,
https://store.steampowered.com/app/2499510,Absurd Story: Back Home,荒镇 返家,荒镇 返家,,,
https://store.steampowered.com/app/3290590,Assassin Story,诸子亡秦,诸子亡秦,,,
https://store.steampowered.com/app/3114900,Dread Flats,兇寓,Dread Flats,,,
https://store.steampowered.com/app/3226060,DreamEcho,梦境回响 DreamEcho,響き、夢境に,,,
https://store.steampowered.com/app/2964960,52Hertz,52赫兹,52赫兹,,,
